epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,24,,,390418.5625,0.27048176527023315,564275.5625,0.21702705323696136,224068.046875
0,24,294435.75,,,,,,
1,49,,142557.359375,,,,,
1,49,,,339431.5625,0.24247579276561737,506662.96875,0.2123660147190094,205565.421875
1,49,167709.96875,,,,,,
2,74,,,320901.90625,0.25475192070007324,527763.3125,0.18369700014591217,189376.6875
2,74,142869.171875,,,,,,
3,99,,138889.0625,,,,,
3,99,,,282524.84375,0.22249971330165863,481367.34375,0.16506993770599365,177428.703125
3,99,127045.7578125,,,,,,
4,124,,,300777.03125,0.24123598635196686,516778.03125,0.16918744146823883,189845.046875
4,124,118767.71875,,,,,,
5,149,,112137.8125,,,,,
5,149,,,272630.5,0.21161118149757385,475437.6875,0.15904702246189117,171981.25
5,149,113744.1875,,,,,,
6,174,,,304621.0,0.24710002541542053,511694.96875,0.17396582663059235,186912.234375
6,174,109287.7109375,,,,,,
7,199,,105184.6171875,,,,,
7,199,,,284789.84375,0.2147606760263443,466542.59375,0.17269843816757202,172334.921875
7,199,111622.9609375,,,,,,
8,224,,,277884.71875,0.21863330900669098,486017.28125,0.15935978293418884,175261.65625
8,224,111473.8671875,,,,,,
9,249,,104853.5859375,,,,,
9,249,,,277221.53125,0.21391259133815765,482969.21875,0.15677042305469513,173892.65625
9,249,100546.9921875,,,,,,
10,274,,,280320.65625,0.2217884063720703,493293.625,0.15876440703868866,176985.53125
10,274,102932.1484375,,,,,,
11,299,,95022.0,,,,,
11,299,,,271191.15625,0.21282713115215302,475486.78125,0.15473420917987823,169034.8125
11,299,98469.3125,,,,,,
12,324,,,270386.59375,0.2047131508588791,465691.375,0.15876813232898712,167298.71875
12,324,95972.4375,,,,,,
13,349,,92677.7109375,,,,,
13,349,,,261550.0625,0.20643380284309387,469158.1875,0.15017814934253693,165591.109375
13,349,92995.0078125,,,,,,
14,374,,,281420.875,0.22083614766597748,497045.5,0.1583670675754547,176519.0625
14,374,94357.109375,,,,,,
15,399,,86100.8828125,,,,,
15,399,,,254067.296875,0.20089221000671387,457115.8125,0.14658604562282562,159724.109375
15,399,92569.921875,,,,,,
16,424,,,256916.578125,0.2035573273897171,462709.09375,0.14904576539993286,163199.09375
16,424,90912.3984375,,,,,,
17,449,,92860.7109375,,,,,
17,449,,,255404.953125,0.20270411670207977,448766.1875,0.14940761029720306,156981.234375
17,449,90561.578125,,,,,,
18,474,,,256253.890625,0.20057275891304016,454160.03125,0.14784307777881622,158668.453125
18,474,91361.0234375,,,,,,
19,499,,96983.7890625,,,,,
19,499,,,261893.421875,0.19963200390338898,446380.625,0.1534259170293808,160145.90625
19,499,93055.546875,,,,,,
20,524,,,252813.015625,0.2012256532907486,457416.34375,0.1467694789171219,156088.5625
20,524,90641.5078125,,,,,,
21,549,,97306.59375,,,,,
21,549,,,266570.71875,0.1940910518169403,443135.375,0.15342961251735687,162336.265625
21,549,90252.359375,,,,,,
22,574,,,245745.390625,0.1908617615699768,430792.90625,0.14334295690059662,149933.71875
22,574,91036.90625,,,,,,
23,599,,91536.0546875,,,,,
23,599,,,244588.5,0.19158953428268433,433674.65625,0.14389777183532715,149212.46875
23,599,86527.671875,,,,,,
24,624,,,239129.375,0.18963830173015594,428874.59375,0.14069654047489166,145799.546875
24,624,86288.2421875,,,,,,
25,649,,79519.03125,,,,,
25,649,,,247217.734375,0.1909750998020172,433365.0625,0.14579978585243225,151677.109375
25,649,85682.140625,,,,,,
26,674,,,238056.875,0.18794479966163635,423640.59375,0.1396532654762268,143699.78125
26,674,85507.2578125,,,,,,
27,699,,83640.1953125,,,,,
27,699,,,239580.375,0.18838167190551758,420059.84375,0.14081259071826935,142806.078125
27,699,83583.09375,,,,,,
28,724,,,233834.078125,0.1851450353860855,408429.875,0.13992545008659363,140432.125
28,724,82181.953125,,,,,,
29,749,,72227.6796875,,,,,
29,749,,,230067.21875,0.18082541227340698,400772.0,0.13675375282764435,137709.3125
29,749,82055.09375,,,,,,
